ds,y
2020-06-18 20:00:00,30436757
2020-06-18 21:00:00,32534418
2020-06-18 22:00:00,31366615
2020-06-18 23:00:00,25972058
2020-06-19 00:00:00,17421117
2020-06-19 01:00:00,10727441
2020-06-19 02:00:00,6959152
2020-06-19 03:00:00,5157364
2020-06-19 04:00:00,5297211
2020-06-19 05:00:00,7072755
2020-06-19 06:00:00,10327945
2020-06-19 07:00:00,14367154
2020-06-19 08:00:00,18295966
2020-06-19 09:00:00,21672073
2020-06-19 10:00:00,24078132
2020-06-19 11:00:00,25084991
2020-06-19 12:00:00,25415070
2020-06-19 13:00:00,24924195
2020-06-19 14:00:00,25875473
2020-06-19 15:00:00,26421311
2020-06-19 16:00:00,26247143
2020-06-19 17:00:00,26919132
2020-06-19 18:00:00,27849993
2020-06-19 19:00:00,28953629
2020-06-19 20:00:00,31041373
2020-06-19 21:00:00,32010605
2020-06-19 22:00:00,31991810
2020-06-19 23:00:00,27079564
2020-06-20 00:00:00,19662968
2020-06-20 01:00:00,12671902
2020-06-20 02:00:00,8006016
2020-06-20 03:00:00,5739039
2020-06-20 04:00:00,5406403
2020-06-20 05:00:00,6736698
2020-06-20 06:00:00,9492487
2020-06-20 07:00:00,13356041
2020-06-20 08:00:00,17660154
2020-06-20 09:00:00,21507228
2020-06-20 10:00:00,23841799
2020-06-20 11:00:00,24964213
2020-06-20 12:00:00,25216395
2020-06-20 13:00:00,24811570
2020-06-20 14:00:00,24956526
2020-06-20 15:00:00,24775876
2020-06-20 16:00:00,25069364
2020-06-20 17:00:00,25437651
2020-06-20 18:00:00,26434522
2020-06-20 19:00:00,27358654
2020-06-20 20:00:00,29118657
2020-06-20 21:00:00,31080391
2020-06-20 22:00:00,30261622
2020-06-20 23:00:00,26156361
2020-06-21 00:00:00,19497542
2020-06-21 01:00:00,12841193
2020-06-21 02:00:00,8184126
2020-06-21 03:00:00,5739654
2020-06-21 04:00:00,5125678
2020-06-21 05:00:00,6011185
2020-06-21 06:00:00,8371308
2020-06-21 07:00:00,11987124
2020-06-21 08:00:00,16332925
2020-06-21 09:00:00,20550762
2020-06-21 10:00:00,23455415
2020-06-21 11:00:00,24811909
2020-06-21 12:00:00,25558522
2020-06-21 13:00:00,25307542
2020-06-21 14:00:00,25568032
2020-06-21 15:00:00,25363066
2020-06-21 16:00:00,25543458
2020-06-21 17:00:00,27264509
